metadata_source,paper_id,title,published_venue,publication_year,treatment,outcome,sign,context,triplet_key,triplet_uid,ideology_sensitivity,policy_direction,economic_liberal_preferred_sign,economic_conservative_preferred_sign,region_bucket,time_decade,unit_of_analysis,race,gender,age,text_surface_cues_up,text_surface_cues_down,evidence,normalization_warnings,validation_errors
legacy,7925,On the Nature of Capital Adjustment Costs,review_of_economic_studies,2000,nonconvex adjustment costs,investment inaction,+,"This paper analyzes a balanced panel of about 7,000 U.S. manufacturing plants continuously operating from 1972–1988 (Longitudinal Research Database). The unit of observation is the plant-year with detailed real gross expenditures and retirements used to construct capital stocks and investment rates. The authors estimate plant-level profit functions, decompose aggregate and idiosyncratic profitability shocks, and structurally recover convex and nonconvex adjustment costs (including irreversibility) by matching simulated policy-function moments to reduced-form investment–profitability regressions.",7925|nonconvex adjustment costs|investment inaction,,non_sensitive,unclear,,,"[""Developed""]","[""1970s"", ""1980s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""analyzes a balanced panel of about 7,000 U.S. manufacturing plants"", ""estimate plant-level profit functions, decompose aggregate and idiosyncratic profitability shocks, and structurally recover convex and nonconvex adjustment costs""], ""policy_direction"": [], ""preferred_signs"": [""analyzes a balanced panel of about 7,000 U.S. manufacturing plants"", ""estimate plant-level profit functions, decompose aggregate and idiosyncratic profitability shocks, and structurally recover convex and nonconvex adjustment costs""], ""region_bucket"": [""U.S. manufacturing plants""], ""time_decade"": [""1972–1988""], ""unit_of_analysis"": [""The unit of observation is the plant-year"", ""plant-level profit functions""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,13699,The Bidder's Curse,american_economic_review,2007,Fraction of overbidders,Fraction of auctions ending above fixed price,+,"The paper studies bidder behavior on U.S. eBay by comparing completed auction prices to simultaneous “Buy-It-Now” fixed prices for identical items. Primary microdata include all Cashflow 101 auctions (Feb–Sep 2004) and a broader cross-section of auctions sampled in Feb–May 2007. Units are individual auctions, bids, bidders, and item listings on eBay’s modified second-price platform; observed institutional features include continuous fixed-price listings on the same webpage, shipping costs, and seller feedback scores. The design exploits simultaneous availability of fixed prices to test for systematic overbidding.",13699|fraction of overbidders|fraction of auctions ending above fixed price,,non_sensitive,unclear,,,"[""Developed""]","[""2000s""]","[""personal_household""]",[],[],[],[],[],"{""ideology_sensitivity"": [""Study of bidder behavior and auction outcomes (micro-level) — treatment: Fraction of overbidders; outcome: Fraction of auctions ending above fixed price""], ""policy_direction"": [], ""preferred_signs"": [""Study of bidder behavior and auction outcomes (micro-level) — treatment: Fraction of overbidders; outcome: Fraction of auctions ending above fixed price""], ""region_bucket"": [""U.S. eBay""], ""time_decade"": [""Feb–Sep 2004"", ""Feb–May 2007""], ""unit_of_analysis"": [""Units are individual auctions, bids, bidders, and item listings on eBay’s modified second-price platform""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,13637,Momentum and Social Learning in Presidential Primaries,journal_of_political_economy,2007,Aggregate early voting returns,Voters' posterior mean evaluation of candidate quality,+,"Analyzes social learning and momentum during the 2004 U.S. Democratic presidential primary season (polling window Oct 7, 2003–Mar 2, 2004), across U.S. states (Iowa, New Hampshire, Super Tuesday, etc.). Uses individual daily National Annenberg Election Survey respondents who are likely Democratic primary voters, merged with state-level aggregate primary returns. Institutional setting is the sequential primary calendar; voters are modeled as Bayesian and uncertain about candidate quality, learning from early-state returns to update preferences and voting intentions.",13637|aggregate early voting returns|voters' posterior mean evaluation of candidate quality,,non_sensitive,unclear,,,"[""Developed""]","[""2000s""]","[""personal_household""]",[],[],[],[],[],"{""ideology_sensitivity"": [""The treatment and outcome concern social learning in a presidential primary (not an economic policy)""], ""policy_direction"": [], ""preferred_signs"": [""The treatment and outcome concern social learning in a presidential primary (not an economic policy)""], ""region_bucket"": [""2004 U.S. Democratic presidential primary season"", ""across U.S. states (Iowa, New Hampshire, Super Tuesday, etc.)""], ""time_decade"": [""polling window Oct 7, 2003–Mar 2, 2004""], ""unit_of_analysis"": [""Uses individual daily National Annenberg Election Survey respondents who are likely Democratic primary voters"", ""merged with state-level aggregate primary returns""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,3942,Anatomy of Financial Distress: An Examination of Junk-Bond Issuers,quarterly_journal_of_economics,1991,Higher industry leverage / lower industry Tobin's q,Likelihood of significant asset sales,-,"This analysis uses the sample of 102 U.S. publicly traded firms that issued high‑yield bonds in the 1970s–1980s and experienced financial distress, focusing on actions around the onset of distress (t‑1 to t+1). For this triplet the outcome is a binary indicator (probit cross‑section regressions) equal to one if the firm sells at least 20% of its assets; the key regressors are industry‑level leverage and industry Tobin's q measured using 4‑digit SIC industry medians in non‑financial industries.",3942|higher industry leverage / lower industry tobin's q|likelihood of significant asset sales,,non_sensitive,unclear,,,"[""Developed""]","[""1970s"", ""1980s""]","[""firm""]",[],[],[],"[""higher""]","[""lower""]","{""ideology_sensitivity"": [""Treatment relates to higher industry leverage / lower industry Tobin's q affecting firm asset-sales (technical corporate finance relation)""], ""policy_direction"": [], ""preferred_signs"": [""Treatment relates to higher industry leverage / lower industry Tobin's q affecting firm asset-sales (technical corporate finance relation)""], ""region_bucket"": [""102 U.S. publicly traded firms""], ""time_decade"": [""1970s\t60s\t80s"", ""1970s\t60s\t80s and experienced financial distress, focusing on actions around the onset of distress (t-1 to t+1)""], ""unit_of_analysis"": [""sample of 102 U.S. publicly traded firms"", ""outcome is a binary indicator ... equal to one if the firm sells at least 20% of its assets""], ""demographics"": [], ""text_surface_cues"": [""Higher industry leverage / lower industry Tobin's q"", ""higher"", ""lower""]}",[],[]
legacy,22951,Interfirm Relationships and Business Performance,quarterly_journal_of_economics,2016,Business meetings,Firm revenue (sales),+,"A large-scale field experiment in Nanchang, China (2013–2015) studied owner-managed micro, small and medium enterprises established within the prior three years. From 2,800 interested firms researchers randomized 1,480 into treatment groups of ten managers who held monthly self-organized meetings for one year (Aug 2013–mid-2014) and 1,320 into a no-meetings control, with baseline (2013), midline (2014) and endline (2015) surveys. The program (run with the local CIIT) also randomized group composition, information shocks about financial products, and one-time cross-group meetings.",22951|business meetings|firm revenue (sales),,non_sensitive,unclear,,,"[""China""]","[""2010s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment : Business meetings"", ""outcome : Firm revenue (sales)""], ""policy_direction"": [], ""preferred_signs"": [""treatment : Business meetings"", ""outcome : Firm revenue (sales)""], ""region_bucket"": [""A large-scale field experiment in Nanchang, China (2013–2015)""], ""time_decade"": [""2013–2015"", ""Aug 2013–mid-2014"", ""baseline (2013), midline (2014) and endline (2015)""], ""unit_of_analysis"": [""owner-managed micro, small and medium enterprises"", ""From 2,800 interested firms researchers randomized..."", ""outcome : Firm revenue (sales)""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,7503,The Effects of Urban Concentration on Economic Growth,american_economic_review,2000,Primate city status as port,Urban concentration (primacy),+,"This paper uses a cross-country panel of about 80–100 countries over 1960–1995 (five-year intervals) to estimate how national urban concentration—measured by primacy (the largest metro area’s share of national urban population)—affects economic growth. The unit of observation is the country-period; analyses control for income, human capital, investment, fertility, openness, federalism, and transport infrastructure (road and waterway density). The study exploits panel GMM/differenced estimation to address endogeneity while also examining policy levers that shape primacy.",7503|primate city status as port|urban concentration (primacy),,non_sensitive,unclear,,,[],"[""1960s"", ""1970s"", ""1980s"", ""1990s""]","[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment: Primate city status as port"", ""outcome: Urban concentration (primacy)"", ""examining policy levers that shape primacy""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Primate city status as port"", ""outcome: Urban concentration (primacy)"", ""examining policy levers that shape primacy""], ""region_bucket"": [], ""time_decade"": [""1960–1995 (five-year intervals)""], ""unit_of_analysis"": [""The unit of observation is the country-period""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,23491,Using Aggregated Relational Data to Feasibly Identify Network Structure without Network Data,american_economic_review,2017,Introduction of microfinance,Graph-level proximity,-,"This triplet concerns the randomized rollout of microfinance in urban neighborhoods of Hyderabad, India: microfinance was randomly introduced to 52 of 104 neighborhoods. The analysis uses ARD collected from about 55 respondents per neighborhood to estimate network structure and compute graph-level proximity (average inverse path length). The unit of analysis is the neighborhood (graph-level regressions compare treated versus control neighborhoods), with follow-ups reported up to six years in the related study.",23491|introduction of microfinance|graph-level proximity,,,unclear,,,"[""Developing""]",[],"[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""urban neighborhoods of Hyderabad, India""], ""time_decade"": [], ""unit_of_analysis"": [""The unit of analysis is the neighborhood (graph-level regressions compare treated versus control neighborhoods)"", ""neighborhood (graph-level regressions compare treated versus control neighborhoods)""], ""demographics"": [], ""text_surface_cues"": []}","[""legacy ideologically_sensitive flag missing; preserved as missing""]",[]
legacy,11494,What Do Parents Value in Education? An Empirical Investigation of Parents' Revealed Preferences for Teachers,quarterly_journal_of_economics,2005,Mixed-grade classroom,Parent requests,-,"This paper uses administrative and survey data from a mid-size public school district in the western United States to analyze parents' revealed preferences for elementary school teachers. It studies parental teacher requests collected in the 2003–04 and 2004–05 school years (with a principal survey in February 2003), covering 11 of 13 elementary schools and 251 teacher-year observations. School assignment is determined by residence (no open enrollment); parents may optionally request or avoid specific teachers. Requests are linked to teacher demographics, principal evaluations, and classroom value-added measures.",11494|mixed-grade classroom|parent requests,,non_sensitive,unclear,,,"[""Developed""]","[""2000s""]","[""personal_household""]",[],[],[],[],[],"{""ideology_sensitivity"": [""analyze parents' revealed preferences for elementary school teachers"", ""parents may optionally request or avoid specific teachers""], ""policy_direction"": [], ""preferred_signs"": [""analyze parents' revealed preferences for elementary school teachers"", ""parents may optionally request or avoid specific teachers""], ""region_bucket"": [""mid-size public school district in the western United States""], ""time_decade"": [""2003–04 and 2004–05 school years"", ""principal survey in February 2003""], ""unit_of_analysis"": [""parents' revealed preferences for elementary school teachers"", ""parent requests"", ""parents may optionally request or avoid specific teachers""], ""demographics"": [""Requests are linked to teacher demographics""], ""text_surface_cues"": []}",[],[]
legacy,9372,PPP Strikes Back: Aggregation and the Real Exchange Rate,quarterly_journal_of_economics,2002,Not accounting for sectoral heterogeneity,Estimated real exchange rate persistence,+,"This empirical study uses monthly Eurostat sectoral CPI price indices (19 goods across ≈13 European countries; about 222 country–sector series) and aggregate CPI real exchange rates versus the US dollar over roughly 1975–1996. Units are country–sector monthly relative prices and country-level aggregate real exchange rates. The paper examines how cross‑sector heterogeneity in autoregressive dynamics biases pooled and aggregate estimates of real‑exchange‑rate persistence (half‑lives), comparing fixed‑effects, Anderson‑Hsiao/Arellano‑Bond dynamic panels, aggregate ARs and a Random Coefficient Model, with Monte‑Carlo simulations; motivation is the PPP puzzle, arbitrage frictions and nominal rigidities.",9372|not accounting for sectoral heterogeneity|estimated real exchange rate persistence,,non_sensitive,unclear,,,"[""Developed""]","[""1970s"", ""1980s"", ""1990s""]","[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""motivation is the PPP puzzle, arbitrage frictions and nominal rigidities"", ""Estimated real exchange rate persistence""], ""policy_direction"": [], ""preferred_signs"": [""motivation is the PPP puzzle, arbitrage frictions and nominal rigidities"", ""Estimated real exchange rate persistence""], ""region_bucket"": [""19 goods across ≈13 European countries"", ""aggregate CPI real exchange rates versus the US dollar""], ""time_decade"": [""over roughly 1975–1996""], ""unit_of_analysis"": [""Units are country–sector monthly relative prices and country-level aggregate real exchange rates""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,14215,What's News in Business Cycles,econometrica,2008,Anticipated shocks,Aggregate fluctuations,+,"This paper estimates a structural DSGE model for the postwar U.S. economy using quarterly data from 1955:Q1–2006:Q4. The unit is the aggregate U.S. economy (per-capita GDP, consumption, investment, government spending, the relative price of investment, and hours worked). The model (an RBC framework with habit formation, investment adjustment costs, and variable capacity utilization) is driven by stationary and permanent TFP shocks, investment-specific shocks, and government spending shocks; Bayesian estimation separates anticipated from unanticipated innovations.",14215|anticipated shocks|aggregate fluctuations,,non_sensitive,unclear,,,"[""Developed""]","[""1950s"", ""1960s"", ""1970s"", ""1980s"", ""1990s"", ""2000s""]","[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""This paper estimates a structural DSGE model for the postwar U.S. economy"", ""treatment : Anticipated shocks"", ""outcome : Aggregate fluctuations""], ""policy_direction"": [], ""preferred_signs"": [""This paper estimates a structural DSGE model for the postwar U.S. economy"", ""treatment : Anticipated shocks"", ""outcome : Aggregate fluctuations""], ""region_bucket"": [""postwar U.S. economy"", ""The unit is the aggregate U.S. economy""], ""time_decade"": [""1955:Q1–2006:Q4""], ""unit_of_analysis"": [""The unit is the aggregate U.S. economy (per-capita GDP, consumption, investment, government spending, the relative price of investment, and hours worked).""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,26519,Labor in the Boardroom,quarterly_journal_of_economics,2019,Board-level codetermination,Value added per worker,None,"This triplet analyzes firms' labor productivity (value added per worker) in the paper's 1994 reform setting: stock corporations incorporated 1989–1999 are compared in two‑year cohorts around the August 10, 1994 cutoff. Value added per worker is measured using Bureau van Dĳk (BvD) value added divided by BvD employment, and the productivity analysis relies on the Orbis‑ADIAB/BvD component (coverage begins in 2006). Units are firms (stock corporations), with LLCs as an additional control group.",26519|board-level codetermination|value added per worker,,ideology_sensitive,unclear,+,-,[],"[""1980s"", ""1990s"", ""2000s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""Board-level codetermination"", ""reform setting""], ""policy_direction"": [], ""preferred_signs"": [""Board-level codetermination"", ""reform setting""], ""region_bucket"": [], ""time_decade"": [""incorporated 1989–1999"", ""August 10, 1994 cutoff"", ""coverage begins in 2006""], ""unit_of_analysis"": [""Units are firms (stock corporations)"", ""stock corporations incorporated 1989–1999""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
