case_id,example_displayed_sign,example_exact_jel_codes,example_false_side,example_original_sign,example_outcome,example_overlap_ratio,example_paper_id,example_treatment,example_true_side,jel_overlap_ratio,jel_similarity,matching_rule,pair_case_type,selection_score,shared_exact_jel_codes,shared_exact_jel_count,target_exact_jel_codes,target_exact_jel_count,target_outcome,target_paper_id,target_side,target_sign,target_treatment,task_name,union_exact_jel_count,variant
task2_jel_similarity_side_capped_jel_similarity_000015,-,"[""H25"", ""H71"", ""H73""]",liberal,-,Number of corporate establishments,0.3333,21534,State corporate income tax increase,conservative,1.0,0.3333,jaccard_jel_similarity,cons-cons,0.3333,"[""H71""]",1,"[""H71""]",1,Incumbent defeat probability,4041,conservative,+,State tax increase,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000016,+,"[""R13"", ""H71"", ""E6"", ""F12""]",conservative,+,Share of establishments,0.25,21760,Government spending,liberal,1.0,0.25,jaccard_jel_similarity,lib-cons,0.25,"[""H71""]",1,"[""H71""]",1,Incumbent defeat probability,4041,conservative,+,State tax increase,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000017,-,"[""J31""]",conservative,-,College premium,1.0,4556,Unionization rate,liberal,1.0,1.0,jaccard_jel_similarity,lib-lib,1.0,"[""J31""]",1,"[""J31""]",1,Workers' earnings,4222,liberal,+,Profit per employee,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000018,-,"[""J31""]",liberal,-,Return to schooling (relative),1.0,16474,Marginal expansion in college attendance,conservative,1.0,1.0,jaccard_jel_similarity,cons-lib,1.0,"[""J31""]",1,"[""J31""]",1,Workers' earnings,4222,liberal,+,Profit per employee,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000019,-,"[""O41"", ""O31""]",liberal,-,Consumption-equivalent welfare,0.5,19763,Shut down secondary patent market,conservative,0.5,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""O41""]",1,"[""D62"", ""O41""]",2,Long-run output/productivity,4311,liberal,+,Integration (mixing),task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000020,-,"[""D62"", ""H23"", ""Q50""]",conservative,-,Long-run residential electricity use,0.3333,24608,Household consumption quota,liberal,0.5,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""D62""]",1,"[""D62"", ""O41""]",2,Long-run output/productivity,4311,liberal,+,Integration (mixing),task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000021,+,"[""I38"", ""I28""]",conservative,+,Cognitive test scores,0.5,5805,Head Start participation,liberal,1.0,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""I38""]",1,"[""I38""]",1,Adult AFQT score,4406,liberal,+,Head Start participation,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000022,+,"[""I38"", ""H24""]",liberal,+,Employment,0.5,7363,Welfare maximum benefit reduction,conservative,1.0,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""I38""]",1,"[""I38""]",1,Adult AFQT score,4406,liberal,+,Head Start participation,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000023,+,"[""I38"", ""I28""]",conservative,+,Cognitive test scores,0.5,5805,Head Start participation,liberal,1.0,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""I38""]",1,"[""I38""]",1,Measles immunization,4406,liberal,+,Head Start participation,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000024,+,"[""I38"", ""H24""]",liberal,+,Employment,0.5,7363,Welfare maximum benefit reduction,conservative,1.0,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""I38""]",1,"[""I38""]",1,Measles immunization,4406,liberal,+,Head Start participation,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000025,-,"[""J2"", ""J3""]",conservative,-,Relative weekly wage of high school dropouts,0.5,3761,Trade and immigration flows,liberal,1.0,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J3""]",1,"[""J3""]",1,Fringe benefits,4509,liberal,None,Minimum wage increase,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000026,+,"[""J3"", ""R1"", ""F23""]",liberal,+,Domestic firm employment,0.3333,26149,Increase in foreign employment share,conservative,1.0,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""J3""]",1,"[""J3""]",1,Fringe benefits,4509,liberal,None,Minimum wage increase,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000027,-,"[""F1""]",conservative,-,Production worker employment,1.0,8293,FTA tariff concessions,liberal,0.5,0.5,jaccard_jel_similarity,lib-cons,0.5,"[""F1""]",1,"[""F1"", ""F13""]",2,Labor productivity,4511,conservative,+,Trade liberalization,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000028,+,"[""F14"", ""F1"", ""F13""]",liberal,+,Firm product scope,0.6667,14416,Input tariff reductions,conservative,1.0,0.6667,jaccard_jel_similarity,cons-cons,0.6667,"[""F1"", ""F13""]",2,"[""F1"", ""F13""]",2,Labor productivity,4511,conservative,+,Trade liberalization,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000029,+,"[""J31""]",conservative,+,Workers' earnings,1.0,4222,Profit per employee,liberal,1.0,1.0,jaccard_jel_similarity,lib-lib,1.0,"[""J31""]",1,"[""J31""]",1,College premium,4556,liberal,-,Unionization rate,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000030,-,"[""J31""]",liberal,-,Return to schooling (relative),1.0,16474,Marginal expansion in college attendance,conservative,1.0,1.0,jaccard_jel_similarity,cons-lib,1.0,"[""J31""]",1,"[""J31""]",1,College premium,4556,liberal,-,Unionization rate,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000031,+,"[""I2"", ""I28"", ""D83"", ""H0""]",liberal,+,Average test score of schools chosen,0.25,13623,Receiving information on school test scores,conservative,0.5,0.2,jaccard_jel_similarity,cons-cons,0.2,"[""D83""]",1,"[""D83"", ""L72""]",2,Probability of exploratory drilling,4605,conservative,+,Herfindahl index of lease holdings,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000032,+,"[""D85"", ""D83"", ""H23"", ""O12""]",conservative,+,Targeting accuracy (rank correlation with self-assessed poverty),0.25,18351,Community-based targeting,liberal,0.5,0.2,jaccard_jel_similarity,lib-cons,0.2,"[""D83""]",1,"[""D83"", ""L72""]",2,Probability of exploratory drilling,4605,conservative,+,Herfindahl index of lease holdings,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000033,-,"[""I18"", ""H51""]",conservative,-,Infant mortality rate,0.5,4930,Medicaid eligibility,liberal,0.5,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""H51""]",1,"[""J12"", ""H51""]",2,Incidence of low birthweight,4644,liberal,-,Medicaid eligibility expansions,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000034,+,"[""H51"", ""I11""]",liberal,+,hospital list charges,0.5,13668,Medicare eligibility,conservative,0.5,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""H51""]",1,"[""J12"", ""H51""]",2,Incidence of low birthweight,4644,liberal,-,Medicaid eligibility expansions,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000035,-,"[""I18"", ""H51""]",conservative,-,Infant mortality rate,0.5,4930,Medicaid eligibility,liberal,0.5,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""H51""]",1,"[""J12"", ""H51""]",2,Infant mortality rate,4644,liberal,-,Medicaid eligibility expansions,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000036,+,"[""H51"", ""I11""]",liberal,+,hospital list charges,0.5,13668,Medicare eligibility,conservative,0.5,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""H51""]",1,"[""J12"", ""H51""]",2,Infant mortality rate,4644,liberal,-,Medicaid eligibility expansions,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000037,+,"[""E3""]",liberal,+,Total factor productivity growth,1.0,10548,News shock (innovation in stock prices orthogonal to TFP),conservative,1.0,1.0,jaccard_jel_similarity,cons-lib,1.0,"[""E3""]",1,"[""E3""]",1,Magnification and propagation of shocks,4675,liberal,+,Variable capital utilization rates,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000038,-,"[""E3""]",conservative,-,Current-practice TFP relative to best-practice,1.0,10573,Early abandonment of technology,liberal,1.0,1.0,jaccard_jel_similarity,lib-lib,1.0,"[""E3""]",1,"[""E3""]",1,Magnification and propagation of shocks,4675,liberal,+,Variable capital utilization rates,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000039,-,"[""G30"", ""G32""]",liberal,-,Overinvestment (agency problems),0.5,8452,Monitored debt,conservative,1.0,0.5,jaccard_jel_similarity,cons-cons,0.5,"[""G32""]",1,"[""G32""]",1,Pay-performance sensitivity,4704,conservative,+,Interstate banking deregulation,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000040,None,"[""G32""]",conservative,None,Purchase obligations used for hold-up,1.0,23331,Introduction of steel futures,liberal,1.0,1.0,jaccard_jel_similarity,lib-cons,1.0,"[""G32""]",1,"[""G32""]",1,Pay-performance sensitivity,4704,conservative,+,Interstate banking deregulation,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000041,-,"[""G30"", ""G32""]",liberal,-,Overinvestment (agency problems),0.5,8452,Monitored debt,conservative,1.0,0.5,jaccard_jel_similarity,cons-cons,0.5,"[""G32""]",1,"[""G32""]",1,Performance-related compensation share,4704,conservative,+,Interstate banking deregulation,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000042,None,"[""G32""]",conservative,None,Purchase obligations used for hold-up,1.0,23331,Introduction of steel futures,liberal,1.0,1.0,jaccard_jel_similarity,lib-cons,1.0,"[""G32""]",1,"[""G32""]",1,Performance-related compensation share,4704,conservative,+,Interstate banking deregulation,task2,1,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000043,-,"[""R10"", ""O40""]",conservative,-,Main city size,0.5,4715,Government transportation spending,liberal,0.5,0.3333,jaccard_jel_similarity,lib-cons,0.3333,"[""O40""]",1,"[""F43"", ""O40""]",2,Per capita GDP growth,4714,conservative,+,Openness,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000044,+,"[""O1"", ""F18"", ""F11"", ""O4"", ""F43"", ""R23"", ""F22"", ""E2""]",liberal,+,Welfare,0.125,21087,Fully liberalizing migration,conservative,0.5,0.1111,jaccard_jel_similarity,cons-cons,0.1111,"[""F43""]",1,"[""F43"", ""O40""]",2,Per capita GDP growth,4714,conservative,+,Openness,task2,9,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000045,+,"[""F43"", ""O40""]",liberal,+,Per capita GDP growth,0.5,4714,Openness,conservative,0.5,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""O40""]",1,"[""R10"", ""O40""]",2,Main city size,4715,liberal,-,Government transportation spending,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000046,-,"[""O10"", ""O40""]",conservative,-,Consumption-equivalent welfare growth,0.5,16352,Rising consumption inequality,liberal,0.5,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""O40""]",1,"[""R10"", ""O40""]",2,Main city size,4715,liberal,-,Government transportation spending,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000047,+,"[""J31""]",conservative,+,Workers' earnings,1.0,4222,Profit per employee,liberal,0.5,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J31""]",1,"[""C23"", ""J31""]",2,Firm productivity per worker,4917,liberal,+,Higher firm-level wages (controlling for person-effects),task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000048,-,"[""J31""]",liberal,-,Return to schooling (relative),1.0,16474,Marginal expansion in college attendance,conservative,0.5,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""J31""]",1,"[""C23"", ""J31""]",2,Firm productivity per worker,4917,liberal,+,Higher firm-level wages (controlling for person-effects),task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000049,+,"[""J31""]",conservative,+,Workers' earnings,1.0,4222,Profit per employee,liberal,0.5,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J31""]",1,"[""C23"", ""J31""]",2,Firm profitability,4917,liberal,+,Higher firm-level wages (controlling for person-effects),task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000050,-,"[""J31""]",liberal,-,Return to schooling (relative),1.0,16474,Marginal expansion in college attendance,conservative,0.5,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""J31""]",1,"[""C23"", ""J31""]",2,Firm profitability,4917,liberal,+,Higher firm-level wages (controlling for person-effects),task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000051,+,"[""G28"", ""G21""]",conservative,+,CAMELS rating,1.0,17736,Federal supervision,liberal,1.0,1.0,jaccard_jel_similarity,lib-cons,1.0,"[""G21"", ""G28""]",2,"[""G21"", ""G28""]",2,Initial loan interest rates for new firms,4921,conservative,-,Higher credit market concentration,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000052,+,"[""G28"", ""G21""]",liberal,+,Nonperforming loans,1.0,17736,Federal supervision,conservative,1.0,1.0,jaccard_jel_similarity,cons-cons,1.0,"[""G21"", ""G28""]",2,"[""G21"", ""G28""]",2,Initial loan interest rates for new firms,4921,conservative,-,Higher credit market concentration,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000053,+,"[""I11"", ""H51"", ""I18""]",liberal,+,Hospital expenditures per patient day,0.6667,11619,Introduction of Medicare,conservative,1.0,0.6667,jaccard_jel_similarity,cons-lib,0.6667,"[""H51"", ""I18""]",2,"[""I18"", ""H51""]",2,Infant mortality rate,4930,liberal,-,Medicaid eligibility,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000054,-,"[""I18"", ""H51""]",conservative,-,Average hospital costs per insured,1.0,17748,Insurance coverage,liberal,1.0,1.0,jaccard_jel_similarity,lib-lib,1.0,"[""H51"", ""I18""]",2,"[""I18"", ""H51""]",2,Infant mortality rate,4930,liberal,-,Medicaid eligibility,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000055,+,"[""E62""]",conservative,+,Real GDP,1.0,18769,Government spending increase,liberal,0.5,0.5,jaccard_jel_similarity,lib-cons,0.5,"[""E62""]",1,"[""F41"", ""E62""]",2,Welfare gains,5086,conservative,+,Replacing income taxes with consumption taxes,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000056,None,"[""E62""]",liberal,None,Government spending multiplier,1.0,18769,High unemployment state,conservative,0.5,0.5,jaccard_jel_similarity,cons-cons,0.5,"[""E62""]",1,"[""F41"", ""E62""]",2,Welfare gains,5086,conservative,+,Replacing income taxes with consumption taxes,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000057,-,"[""I1""]",liberal,-,Magnitude of short-term health loss from new chronic condition,1.0,9098,Higher family income,conservative,0.5,0.5,jaccard_jel_similarity,cons-cons,0.5,"[""I1""]",1,"[""K13"", ""I1""]",2,Medical expenditures,5466,conservative,-,Malpractice liability reforms,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000058,-,"[""I1""]",conservative,-,Mortality of bypass patients,1.0,12623,Diagnosis by an interventional cardiologist,liberal,0.5,0.5,jaccard_jel_similarity,lib-cons,0.5,"[""I1""]",1,"[""K13"", ""I1""]",2,Medical expenditures,5466,conservative,-,Malpractice liability reforms,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000059,+,"[""F1""]",liberal,+,Labour productivity,1.0,8293,FTA tariff concessions,conservative,0.5,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""F1""]",1,"[""D5"", ""F1""]",2,HOV model fit,5625,liberal,+,Relaxing universal factor price equalization,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000060,-,"[""F1""]",conservative,-,Production worker employment,1.0,8293,FTA tariff concessions,liberal,0.5,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""F1""]",1,"[""D5"", ""F1""]",2,HOV model fit,5625,liberal,+,Relaxing universal factor price equalization,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000061,+,"[""F31"", ""G12"", ""G15""]",liberal,+,Forward CIP trading strategy excess returns,0.3333,26009,Risk of intermediary constraints tightening,conservative,0.5,0.25,jaccard_jel_similarity,cons-cons,0.25,"[""F31""]",1,"[""F33"", ""F31""]",2,ease of return to equilibrium,5650,conservative,+,Flexible exchange regime,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000062,+,"[""F33"", ""N10""]",conservative,+,Economic recovery,0.5,27586,Leaving the gold standard,liberal,0.5,0.3333,jaccard_jel_similarity,lib-cons,0.3333,"[""F33""]",1,"[""F33"", ""F31""]",2,ease of return to equilibrium,5650,conservative,+,Flexible exchange regime,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000063,-,"[""M52"", ""J33"", ""I18"", ""O15""]",conservative,-,Under-5 mortality,0.25,27364,Community monitoring,liberal,0.5,0.2,jaccard_jel_similarity,lib-lib,0.2,"[""J33""]",1,"[""J00"", ""J33""]",2,Overall turnover rate,5672,liberal,+,Switch to piece rate pay,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000064,-,"[""M52"", ""J33"", ""I18"", ""O15""]",conservative,-,Under-5 mortality,0.25,27364,Community monitoring,liberal,0.5,0.2,jaccard_jel_similarity,lib-cons,0.2,"[""J33""]",1,"[""J00"", ""J33""]",2,Worker wages,5672,conservative,+,Switch to piece rate pay,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000065,None,"[""J23"", ""J38""]",conservative,None,"Labor supply (hours, overtime, bonuses, jobs)",0.5,15745,New payroll tax regime,liberal,1.0,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J38""]",1,"[""J38""]",1,Female employment-to-population ratio,5688,liberal,+,Parental leave entitlements,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000066,-,"[""J23"", ""J38""]",liberal,-,Net earnings,0.5,15745,New payroll tax regime,conservative,1.0,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""J38""]",1,"[""J38""]",1,Female employment-to-population ratio,5688,liberal,+,Parental leave entitlements,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000067,None,"[""J23"", ""J38""]",conservative,None,"Labor supply (hours, overtime, bonuses, jobs)",0.5,15745,New payroll tax regime,liberal,1.0,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J38""]",1,"[""J38""]",1,Total employment,5688,liberal,+,Parental leave mandates,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000068,-,"[""J23"", ""J38""]",liberal,-,Net earnings,0.5,15745,New payroll tax regime,conservative,1.0,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""J38""]",1,"[""J38""]",1,Total employment,5688,liberal,+,Parental leave mandates,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000069,+,"[""J31""]",conservative,+,Workers' earnings,1.0,4222,Profit per employee,liberal,0.5,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J31""]",1,"[""J51"", ""J31""]",2,Actual hours worked,5716,liberal,-,Reduction in standard hours,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000070,-,"[""J31""]",liberal,-,Return to schooling (relative),1.0,16474,Marginal expansion in college attendance,conservative,0.5,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""J31""]",1,"[""J51"", ""J31""]",2,Actual hours worked,5716,liberal,-,Reduction in standard hours,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000071,+,"[""J31""]",conservative,+,Workers' earnings,1.0,4222,Profit per employee,liberal,0.5,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""J31""]",1,"[""J51"", ""J31""]",2,Straight-time hourly wage,5716,liberal,+,Reduction in standard hours,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000072,-,"[""J31""]",liberal,-,Return to schooling (relative),1.0,16474,Marginal expansion in college attendance,conservative,0.5,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""J31""]",1,"[""J51"", ""J31""]",2,Straight-time hourly wage,5716,liberal,+,Reduction in standard hours,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000073,-,"[""E24"", ""E32""]",conservative,-,Cumulative restructuring,1.0,7355,Recession,liberal,1.0,1.0,jaccard_jel_similarity,lib-lib,1.0,"[""E24"", ""E32""]",2,"[""E24"", ""E32""]",2,Employment,5721,liberal,+,Demand shock,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000074,+,"[""E24"", ""E2"", ""E32""]",liberal,+,unemployment rate,0.6667,19265,increase in unemployment benefits,conservative,1.0,0.6667,jaccard_jel_similarity,cons-lib,0.6667,"[""E24"", ""E32""]",2,"[""E24"", ""E32""]",2,Employment,5721,liberal,+,Demand shock,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_000075,-,"[""E24"", ""E32""]",conservative,-,Cumulative restructuring,1.0,7355,Recession,liberal,1.0,1.0,jaccard_jel_similarity,lib-lib,1.0,"[""E24"", ""E32""]",2,"[""E24"", ""E32""]",2,Output-employment comovement,5721,liberal,+,Demand shocks,task2,2,side_capped_jel_similarity
