family,model,pair_case_type,n_predictions,correct_predictions,n_triplets,accuracy
gemini,gemini-2.5-flash,lib-cons,246,170,246,0.6910569105691057
gemini,gemini-2.5-flash,cons-lib,319,246,319,0.7711598746081505
gemini,gemini-2.5-flash,cons-cons,202,128,202,0.6336633663366337
gemini,gemini-3-flash-preview,liberal-only,380,332,190,0.8736842105263158
gemini,gemini-3-flash-preview,conservative-only,302,266,151,0.8807947019867549
gemini,gemini-3-flash-preview,lib-lib,383,327,383,0.8537859007832899
gemini,gemini-3-flash-preview,lib-cons,246,212,246,0.8617886178861789
gemini,gemini-3-flash-preview,cons-lib,319,271,319,0.8495297805642633
gemini,gemini-3-flash-preview,cons-cons,202,170,202,0.8415841584158416
grok,grok-3,liberal-only,380,318,190,0.8368421052631579
grok,grok-3,conservative-only,302,236,151,0.7814569536423841
grok,grok-3,lib-lib,383,285,383,0.7441253263707572
grok,grok-3,lib-cons,246,159,246,0.6463414634146342
grok,grok-3,cons-lib,319,237,319,0.7429467084639498
grok,grok-3,cons-cons,202,128,202,0.6336633663366337
grok,grok-3-mini,liberal-only,380,332,190,0.8736842105263158
grok,grok-3-mini,conservative-only,302,226,151,0.7483443708609272
grok,grok-3-mini,lib-lib,383,311,383,0.8120104438642297
grok,grok-3-mini,lib-cons,246,170,246,0.6910569105691057
grok,grok-3-mini,cons-lib,319,245,319,0.768025078369906
grok,grok-3-mini,cons-cons,202,133,202,0.6584158415841584
grok,grok-4-1-fast-reasoning,liberal-only,380,336,190,0.8842105263157894
grok,grok-4-1-fast-reasoning,conservative-only,302,236,151,0.7814569536423841
grok,grok-4-1-fast-reasoning,lib-lib,383,310,383,0.8093994778067886
grok,grok-4-1-fast-reasoning,lib-cons,246,184,246,0.7479674796747967
grok,grok-4-1-fast-reasoning,cons-lib,319,259,319,0.8119122257053292
grok,grok-4-1-fast-reasoning,cons-cons,202,139,202,0.6881188118811881
llama,meta-llama/llama-3.1-8b-instruct,liberal-only,380,220,190,0.5789473684210527
llama,meta-llama/llama-3.1-8b-instruct,conservative-only,302,164,151,0.543046357615894
llama,meta-llama/llama-3.1-8b-instruct,lib-lib,383,208,383,0.5430809399477807
llama,meta-llama/llama-3.1-8b-instruct,lib-cons,246,103,246,0.4186991869918699
llama,meta-llama/llama-3.1-8b-instruct,cons-lib,319,169,319,0.5297805642633229
llama,meta-llama/llama-3.1-8b-instruct,cons-cons,202,99,202,0.4900990099009901
llama,meta-llama/llama-3.2-1b-instruct,liberal-only,380,250,190,0.6578947368421053
llama,meta-llama/llama-3.2-1b-instruct,conservative-only,302,182,151,0.6026490066225165
llama,meta-llama/llama-3.2-1b-instruct,lib-lib,383,233,383,0.608355091383812
llama,meta-llama/llama-3.2-1b-instruct,lib-cons,246,122,246,0.4959349593495935
llama,meta-llama/llama-3.2-1b-instruct,cons-lib,319,209,319,0.6551724137931034
llama,meta-llama/llama-3.2-1b-instruct,cons-cons,202,107,202,0.5297029702970297
llama,meta-llama/llama-3.2-3b-instruct,liberal-only,380,254,190,0.6684210526315789
llama,meta-llama/llama-3.2-3b-instruct,conservative-only,302,182,151,0.6026490066225165
llama,meta-llama/llama-3.2-3b-instruct,lib-lib,383,207,383,0.5404699738903395
llama,meta-llama/llama-3.2-3b-instruct,lib-cons,246,111,246,0.4512195121951219
llama,meta-llama/llama-3.2-3b-instruct,cons-lib,319,170,319,0.5329153605015674
llama,meta-llama/llama-3.2-3b-instruct,cons-cons,202,86,202,0.4257425742574257
llama,meta-llama/llama-3.3-70b-instruct,liberal-only,380,320,190,0.8421052631578947
llama,meta-llama/llama-3.3-70b-instruct,conservative-only,302,206,151,0.6821192052980133
llama,meta-llama/llama-3.3-70b-instruct,lib-lib,383,294,383,0.7676240208877284
llama,meta-llama/llama-3.3-70b-instruct,lib-cons,246,139,246,0.5650406504065041
llama,meta-llama/llama-3.3-70b-instruct,cons-lib,319,248,319,0.7774294670846394
llama,meta-llama/llama-3.3-70b-instruct,cons-cons,202,127,202,0.6287128712871287
qwen,qwen/qwen3-14b,liberal-only,380,300,190,0.7894736842105263
qwen,qwen/qwen3-14b,conservative-only,302,190,151,0.6291390728476821
qwen,qwen/qwen3-14b,lib-lib,383,252,383,0.6579634464751958
qwen,qwen/qwen3-14b,lib-cons,246,132,246,0.5365853658536586
qwen,qwen/qwen3-14b,cons-lib,319,195,319,0.6112852664576802
qwen,qwen/qwen3-14b,cons-cons,202,116,202,0.5742574257425742
qwen,qwen/qwen3-32b,liberal-only,380,316,190,0.8315789473684211
qwen,qwen/qwen3-32b,conservative-only,302,196,151,0.6490066225165563
qwen,qwen/qwen3-32b,lib-lib,383,285,383,0.7441253263707572
qwen,qwen/qwen3-32b,lib-cons,246,156,246,0.6341463414634146
qwen,qwen/qwen3-32b,cons-lib,319,228,319,0.7147335423197492
qwen,qwen/qwen3-32b,cons-cons,202,117,202,0.5792079207920792
qwen,qwen/qwen3-8b,liberal-only,380,314,190,0.8263157894736842
qwen,qwen/qwen3-8b,conservative-only,302,216,151,0.7152317880794702
qwen,qwen/qwen3-8b,lib-lib,383,281,383,0.7336814621409922
qwen,qwen/qwen3-8b,lib-cons,246,143,246,0.5813008130081301
qwen,qwen/qwen3-8b,cons-lib,319,216,319,0.677115987460815
qwen,qwen/qwen3-8b,cons-cons,202,124,202,0.6138613861386139
